sample,readcount,UMI,gene,group,isogenic_pair,cell_line,cell_type,passage,genotype,batch,protocol,seq_tech
C9_P7_1,"1,205,281","851,516","15,078",CON,C9_C13,C9,iNPC,P7,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9_P7_2,"1,096,155","770,092","15,144",CON,C9_C13,C9,iNPC,P7,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9_P7_3,"3,879,723","2,729,490","18,778",CON,C9_C13,C9,iNPC,P7,CON,LILAC1,DN,bulk_RNAseq_Singleron
DS2U_P8_1,"1,062,841","779,040","14,913",CON,DS2U_DS1,DS2U,iNPC,P8,CON,LILAC1,SCZ,bulk_RNAseq_Singleron
DS2U_P8_2,"1,508,514","1,067,794","15,860",CON,DS2U_DS1,DS2U,iNPC,P8,CON,LILAC1,SCZ,bulk_RNAseq_Singleron
DS2U_P8_3,"1,145,757","813,543","14,561",CON,DS2U_DS1,DS2U,iNPC,P8,CON,LILAC1,SCZ,bulk_RNAseq_Singleron
DS2U_P8_4,"1,496,143","1,060,927","15,309",CON,DS2U_DS1,DS2U,iNPC,P8,CON,LILAC1,SCZ,bulk_RNAseq_Singleron
DS2U_NT_1,"3,039,919","2,335,565","18,591",CON,DS2U_DS1,DS2U,iNPC,NA,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_NT_2,"2,382,842","1,839,255","17,919",CON,DS2U_DS1,DS2U,iNPC,NA,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_NT_3,"2,982,649","2,302,423","18,527",CON,DS2U_DS1,DS2U,iNPC,NA,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_NT_4,"2,143,860","1,656,614","17,628",CON,DS2U_DS1,DS2U,iNPC,NA,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
C13_P7_1,"6,518,694","4,602,093","19,835",DS,C9_C13,C13,iNPC,P7,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13_P7_2,"6,468,270","4,573,620","19,899",DS,C9_C13,C13,iNPC,P7,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13_P7_3,"6,387,641","4,507,197","20,001",DS,C9_C13,C13,iNPC,P7,DS,LILAC1,DN,bulk_RNAseq_Singleron
DS1_P6_1,"1,514,049","1,068,822","15,116",DS,DS2U_DS1,DS1,iNPC,P6,DS,LILAC1,SCZ,bulk_RNAseq_Singleron
DS1_P6_2,"1,231,169","874,154","14,558",DS,DS2U_DS1,DS1,iNPC,P6,DS,LILAC1,SCZ,bulk_RNAseq_Singleron
DS1_P6_3,"4,273,297","2,991,924","18,546",DS,DS2U_DS1,DS1,iNPC,P6,DS,LILAC1,SCZ,bulk_RNAseq_Singleron
DS1_P6_4,"4,706,619","3,328,844","18,892",DS,DS2U_DS1,DS1,iNPC,P6,DS,LILAC1,SCZ,bulk_RNAseq_Singleron
DS1_NT_1,"4,802,618","3,699,174","19,787",DS,DS2U_DS1,DS1,iNPC,NA,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_NT_2,"4,852,756","3,738,998","19,783",DS,DS2U_DS1,DS1,iNPC,NA,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_NT_3,"3,165,876","2,439,894","18,194",DS,DS2U_DS1,DS1,iNPC,NA,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_NT_4,"8,892,139","6,858,577","21,387",DS,DS2U_DS1,DS1,iNPC,NA,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
C9_D31_1,"3,551,291","2,497,841","19,870",CON,C9_C13,C9,iNEU,NA,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9_D31_2,"563,375","397,878","14,566",CON,C9_C13,C9,iNEU,NA,CON,LILAC1,DN,bulk_RNAseq_Singleron
C9_D31_3,"6,400,228","4,519,458","22,058",CON,C9_C13,C9,iNEU,NA,CON,LILAC1,DN,bulk_RNAseq_Singleron
DS2U_D31_1,"1,445,787","1,153,040","17,763",CON,DS2U_DS1,DS2U,iNEU,NA,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_D31_2,"1,870,600","1,485,874","19,055",CON,DS2U_DS1,DS2U,iNEU,NA,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
DS2U_D31_3,"2,080,926","1,656,033","18,667",CON,DS2U_DS1,DS2U,iNEU,NA,CON,LILAC3,SCZ,bulk_RNAseq_Singleron
C13_D31_1,"9,275,534","6,527,616","22,971",DS,C9_C13,C13,iNEU,NA,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13_D31_2,"10,203,112","7,179,801","22,743",DS,C9_C13,C13,iNEU,NA,DS,LILAC1,DN,bulk_RNAseq_Singleron
C13_D31_3,"2,819,592","1,983,583","19,212",DS,C9_C13,C13,iNEU,NA,DS,LILAC1,DN,bulk_RNAseq_Singleron
DS1_D31_1,"3,833,923","3,052,482","20,944",DS,DS2U_DS1,DS1,iNEU,NA,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_D31_3,"3,762,816","2,993,562","20,823",DS,DS2U_DS1,DS1,iNEU,NA,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
DS1_D31_2,"3,088,199","2,460,272","20,072",DS,DS2U_DS1,DS1,iNEU,NA,DS,LILAC3,SCZ,bulk_RNAseq_Singleron
