cluster,cluster_name,cell_type,cell_class
13,AST_c13,AST,AST
11,RG_c11,RG,RG
0,RG_c0,RG,RG
8,RG_prol_c8,RG_prol,RG
9,IPC_prol_c9,IPC_prol,IPC
12,IPC_c12,IPC,IPC
5,IPC_c5,IPC,IPC
1,NEU_CUX2_c1,NEU_CUX2,NEU_exc
10,NEU_CUX2_c10,NEU_CUX2,NEU_exc
2,NEU_CUX2_c2,NEU_CUX2,NEU_exc
4,NEU_RORB_c4,NEU_RORB,NEU_exc
3,NEU_TLE4_c3,NEU_TLE4,NEU_exc
6,NEU_SST_c6,NEU_SST,NEU_inh
7,NEU_CALB2_c7,NEU_CALB2,NEU_inh
14,NEU_RELN_c14,NEU_RELN,NEU_inh
15,NEU_RELN_c15,NEU_RELN,NEU_inh
17,NEU_low_c17,NEU_low,NEU_low
20,NEU_low_c20,NEU_low,NEU_low
16,OPC_c16,OPC,OPC
18,VASC_c18,VASC,VASC
19,MIC_c19,MIC,MIC
