cluster,cluster_name,cell_type,cell_class
14,AST_s14,AST,AST
15,AST_s15,AST,AST
3,RG_s3,RG,RG
5,RG_s5,RG,RG
11,RG_s11,RG,RG
6,RG_prol_s6,RG_prol,RG
9,RG_prol_s9,RG_prol,RG
8,IPC_prol_s8,IPC_prol,IPC
12,IPC_s12,IPC,IPC
4,IPC_s4,IPC,IPC
1,NEU_CUX2_s1,NEU_CUX2,NEU_exc
0,NEU_CUX2_s0,NEU_CUX2,NEU_exc
10,NEU_RORB_s10,NEU_RORB,NEU_exc
7,NEU_TLE4_s7,NEU_TLE4,NEU_exc
2,NEU_TLE4_s2,NEU_TLE4,NEU_exc
19,NEU_RELN_s19,NEU_RELN,NEU_inh
13,LOW_s13,LOW,LOW
16,LOW_s16,LOW,LOW
17,LOW_s17,LOW,LOW
18,LOW_s18,LOW,LOW
20,LOW_s20,LOW,LOW
